# Microsoft Outlook 2007 shortcuts

SwitchToMail | Switch to Mail | Ctrl 1
MarkRead | Mark as read | Ctrl Q
MarkUnread | Mark as unread | Ctrl U
ShowDownloadMenu | Show the menu to download pictures | Ctrl Shift W
ForwardAttachment | Forward as attachment | Ctrl Alt F
ShowProperties | Show the properties for the selected item | Alt Enter
MarkDownload | Mark for download | Ctrl Alt M
ClearMarkDownload | Clear mark for download | Ctrl Alt U
DisplaySendReceive | Display send/receive progress | Ctrl B
Show10Days | Show 10 days in the calender | Alt 0
Show1Day | Show 1 day in the calendar | Alt 1
Show2Days | Show 2 days in the calendar | Alt 2
Show3Days | Show 3 days in the calendar | Alt 3
Show4Days | Show 4 days in the calendar | Alt 4
Show5Days | Show 5 days in the calendar | Alt 5
Show6Days | Show 6 days in the calendar | Alt 6
Show7Days | Show 7 days in the calendar | Alt 7
Show8Days | Show 8 days in the calendar | Alt 8
Show9Days | Show 9 days in the calendar | Alt 9
GoToDate | Go to a date | Ctrl G
MonthView | Switch to month view | Alt =; Ctrl Alt 4
NextDay | Go to the next day | Ctrl Right
NextWeek | Go the the next week | Alt Down
NextMonth | Go to the next month | Alt PageDown
PrevDay | Go to the previous day | Ctrl Left
PrevWeek | Go to the previous week | Alt Up
PrevMonth | Go to the previous month | Alt PageUp
StartOfWeek | Go to the start of the week | Alt Home
EndOfWeek | Go to the end of the week | Alt End
FullWeekView | Switch to full week view | Alt -; Ctrl Alt 3
WorkWeekView | Switch to work week view | Ctrl Alt 2
Recurrence | Set up recurrence for an appointment or task | Ctrl G
DialCall | Dial a new call | Ctrl Shift D
SearchAddressBooks | Enter a name in the search address books box | F11
ShowHideToDo | Show or hide the to-do bar | Alt F2
AcceptTaskRequest | Accept a task request | Alt C
DeclineTaskRequest | Decline a task request | Alt D
FormatMenu | Display the format menu | Alt O
FontDialog | Display the Font dialog box | Ctrl Shift P
SwitchCase | Switch text case | Shift F3
SmallCaps | Format letters as small capitals | Ctrl Shift K
Bold | Make letters bold | Ctrl B
Bullets | Add bullets | Ctrl Shift L
Italic | Make letters italic | Ctrl I
IncreaseIndent | Increase indent | Ctrl T
DecreaseIndent | Decrease indent | Ctrl Shift T
IncreaseFont | Increase font size | Ctrl ]; Ctrl Shift >
DecreaseFont | Decrease font size | Ctrl [; Ctrl Shift <
Cut | Cut | Ctrl X; Shift Delete
Copy | Copy | Ctrl C
Paste | Paste | Ctrl V; Shift Insert
ClearFormat | Clear formatting | Ctrl Shift Z; Ctrl Spacebar
DeleteNextWord | Delete the next word | Ctrl Shift H
StretchPara | Stretch a paragraph to fit between the margins | Ctrl Shift J
ApplyStyles | Apply styles | Ctrl Shift S
HangingIndent | Create a hanging indent | Ctrl T
InsertHyperlink | Insert a hyperlink | Ctrl K
ReduceHangingIndent | Reduce a hanging indent | Ctrl Shift T
RemoveFormat | Remove paragraph formatting | Ctrl Q
PrintPreview | Print preview | Alt F, V
Zoom | Zoom | Alt Z
ClosePrintPreview | Close print preview | Alt C
SendReceive | Send and receive | F9; Ctrl M
SendReceiveFolder | Send and receive for current folder | Shift F9
PlayMacro | Play macro | Alt F8
SaveFormDesign | Save form design | Ctrl Alt Shift F12
SaveFormData | Save form data | Ctrl Shift F11
OpenVisualBasic | OpenVisualBasicEditor | Alt F11
